,HR
0,64.5
1,64.6
2,65.67
3,66.43
4,67.12
5,67.56
6,67.8
7,68.0
8,68.25
9,68.46
10,68.64
11,68.8
12,69.0
13,69.24
14,69.44
15,69.63
16,69.8
17,69.95
18,70.09
19,70.22
20,70.29
21,70.36
22,70.42
23,70.48
24,70.54
25,70.55
26,70.57
27,70.58
28,70.62
29,70.7
30,70.79
31,70.91
32,71.03
33,71.16
34,71.29
35,71.41
36,71.5
37,71.59
38,71.64
39,71.67
40,71.7
41,71.71
42,71.72
43,71.72
44,71.73
45,71.73
46,71.74
47,71.76
48,71.79
49,71.81
50,71.83
51,71.85
52,71.89
53,71.93
54,71.98
55,72.02
56,72.05
57,72.22
58,72.38
59,72.57
60,72.77
61,72.97
62,73.08
63,73.22
64,73.3
65,73.35
66,73.42
67,73.45
68,73.3
69,73.17
70,73.05
71,72.95
72,72.85
73,72.73
74,72.63
75,72.55
76,72.45
77,72.33
78,72.22
79,72.07
80,71.95
81,71.83
82,71.75
83,71.68
84,71.62
85,71.58
86,71.55
87,71.52
88,71.47
89,71.4
90,71.32
91,71.22
92,71.13
93,71.03
94,70.93
95,70.83
96,70.75
97,70.65
98,70.55
99,70.47
100,70.37
101,70.28
102,70.2
103,70.13
104,70.07
105,70.02
106,69.97
107,69.9
108,69.83
109,69.77
110,69.72
111,69.67
112,69.6
113,69.53
114,69.45
115,69.4
116,69.33
117,69.25
118,69.18
119,69.12
120,69.05
121,68.97
122,68.9
123,68.83
124,68.8
125,68.82
126,68.83
127,68.88
128,69.1
129,69.32
130,69.52
131,69.67
132,69.8
133,69.92
134,70.02
135,70.12
136,70.22
137,70.45
138,70.65
139,70.87
140,71.07
141,71.33
142,71.57
143,71.78
144,71.98
145,72.12
146,72.27
147,72.4
148,72.45
149,72.5
150,72.55
151,72.58
152,72.6
153,72.62
154,72.63
155,72.67
156,72.7
157,72.75
158,72.78
159,72.78
160,72.77
161,72.9
162,73.03
163,73.08
164,73.18
165,73.27
166,73.32
167,73.37
168,73.43
169,73.48
170,73.52
171,73.57
172,73.65
173,73.73
174,73.82
175,73.88
176,73.95
177,74.0
178,74.02
179,74.02
180,73.98
181,73.93
182,73.82
183,73.7
184,73.58
185,73.47
186,73.35
187,73.23
188,73.12
189,72.98
190,72.85
191,72.75
192,72.65
193,72.58
194,72.52
195,72.43
196,72.35
197,72.15
198,71.98
199,71.82
200,71.65
201,71.42
202,71.17
203,70.92
204,70.67
205,70.47
206,70.25
207,70.07
208,69.97
209,69.87
210,69.77
211,69.7
212,69.65
213,69.62
214,69.58
215,69.53
216,69.48
217,69.43
218,69.42
219,69.42
220,69.45
221,69.33
222,69.18
223,69.1
224,68.95
225,68.78
226,68.63
227,68.48
228,68.3
229,68.15
230,68.02
231,67.87
232,67.68
233,67.52
234,67.35
235,67.2
236,67.08
237,66.98
238,66.92
239,66.92
240,66.95
241,67.02
242,67.1
243,67.15
244,67.2
245,67.25
246,67.32
247,67.37
248,67.4
249,67.43
250,67.47
251,67.5
252,67.53
253,67.55
254,67.58
255,67.63
256,67.72
257,67.82
258,67.9
259,68.0
260,68.1
261,68.17
262,68.27
263,68.37
264,68.5
265,68.63
266,68.77
267,68.87
268,68.95
269,69.02
270,69.05
271,69.1
272,69.13
273,69.17
274,69.22
275,69.28
276,69.37
277,69.48
278,69.62
279,69.77
280,69.9
281,70.02
282,70.17
283,70.42
284,70.67
285,70.93
286,71.18
287,71.47
288,71.77
289,71.93
290,72.08
291,72.25
292,72.4
293,72.55
294,72.68
295,72.8
296,72.92
297,73.0
298,73.05
299,73.05
300,73.03
301,72.98
302,72.95
303,72.93
304,72.9
305,72.85
306,72.78
307,72.72
308,72.67
309,72.6
310,72.57
311,72.52
312,72.48
313,72.45
314,72.43
315,72.42
316,72.4
317,72.37
318,72.37
319,72.35
320,72.37
321,72.4
322,72.37
323,72.33
324,72.28
325,72.2
326,72.12
327,72.03
328,72.0
329,71.97
330,71.97
331,71.93
332,71.92
333,71.88
334,71.85
335,71.8
336,71.73
337,71.63
338,71.53
339,71.42
340,71.3
341,71.2
342,71.1
343,70.9
344,70.73
345,70.55
346,70.42
347,70.27
348,70.13
349,70.12
350,70.12
351,70.13
352,70.08
353,70.03
354,69.85
355,69.73
356,69.57
357,69.43
358,69.35
359,69.35
360,69.33
361,69.32
362,69.27
363,69.1
364,68.97
365,68.93
366,68.95
367,68.98
368,69.02
369,69.07
370,69.1
371,69.12
372,69.23
373,69.33
374,69.4
375,69.47
376,69.52
377,69.53
378,69.55
379,69.58
380,69.58
381,69.62
382,69.68
383,62.33
384,62.25
385,62.8
386,63.67
387,64.43
388,65.0
389,65.33
390,65.5
391,65.55
392,65.58
393,65.54
394,65.29
395,65.27
396,65.25
397,65.24
398,65.28
399,65.42
400,65.55
401,65.67
402,65.82
403,65.96
404,66.08
405,66.2
406,66.35
407,66.48
408,66.61
409,66.76
410,66.9
411,67.0
412,67.09
413,67.21
414,67.32
415,67.4
416,67.47
417,67.57
418,67.71
419,67.9
420,68.07
421,68.27
422,68.5
423,68.7
424,68.7
425,68.67
426,68.59
427,68.49
428,68.33
429,68.2
430,68.08
431,67.94
432,67.79
433,67.64
434,67.48
435,67.31
436,67.14
437,66.98
438,66.83
439,66.71
440,66.6
441,66.58
442,66.55
443,66.55
444,66.55
445,66.53
446,66.48
447,66.43
448,66.38
449,66.53
450,66.6
451,66.7
452,66.82
453,66.97
454,67.17
455,67.3
456,67.43
457,67.58
458,67.75
459,67.9
460,68.07
461,68.22
462,68.32
463,68.4
464,68.47
465,68.62
466,68.75
467,68.87
468,69.0
469,69.12
470,69.23
471,69.37
472,69.52
473,69.65
474,69.78
475,69.93
476,70.1
477,70.23
478,70.32
479,70.37
480,70.4
481,70.42
482,70.42
483,70.42
484,70.52
485,70.65
486,70.82
487,70.98
488,71.13
489,71.25
490,71.38
491,71.5
492,71.65
493,71.77
494,71.85
495,71.93
496,72.02
497,72.07
498,72.1
499,72.07
500,72.32
501,72.55
502,72.77
503,72.97
504,73.22
505,73.47
506,73.72
507,73.98
508,74.25
509,74.33
510,74.5
511,74.6
512,74.75
513,74.9
514,75.02
515,75.17
516,75.32
517,75.45
518,75.57
519,75.7
520,75.77
521,75.85
522,76.0
523,76.18
524,76.37
525,76.47
526,76.52
527,76.6
528,76.65
529,76.7
530,76.72
531,76.75
532,76.78
533,76.85
534,76.9
535,76.95
536,76.93
537,76.95
538,76.97
539,76.97
540,76.93
541,76.88
542,76.8
543,76.73
544,76.73
545,76.75
546,76.75
547,76.83
548,76.98
549,77.18
550,77.38
551,77.6
552,77.82
553,78.07
554,78.37
555,78.72
556,79.1
557,79.53
558,79.97
559,80.42
560,80.58
561,80.75
562,80.95
563,81.13
564,81.25
565,81.32
566,81.38
567,81.4
568,81.42
569,81.4
570,81.33
571,81.28
572,81.15
573,81.0
574,80.85
575,80.67
576,80.47
577,80.27
578,80.07
579,79.83
580,79.67
581,79.57
582,79.48
583,79.38
584,79.32
585,79.27
586,79.28
587,79.27
588,79.25
589,79.2
590,79.15
591,79.08
592,78.98
593,78.82
594,78.63
595,78.53
596,78.48
597,78.45
598,78.38
599,78.33
600,78.23
601,78.17
602,78.13
603,78.03
604,77.9
605,77.75
606,77.78
607,77.75
608,77.8
609,77.82
610,77.8
611,77.78
612,77.75
613,77.7
614,77.65
615,77.55
616,77.4
617,77.2
618,77.02
619,76.83
620,76.65
621,76.43
622,76.2
623,75.98
624,75.78
625,75.62
626,75.42
627,75.22
628,75.02
629,74.85
