,HR
0,82.25
1,85.4
2,87.83
3,90.0
4,90.25
5,90.11
6,89.9
7,90.0
8,90.17
9,89.54
10,89.79
11,89.8
12,89.88
13,89.94
14,90.0
15,90.05
16,90.1
17,90.1
18,90.14
19,90.13
20,90.25
21,90.32
22,90.42
23,90.56
24,90.68
25,90.83
26,90.97
27,90.97
28,90.91
29,90.67
30,90.65
31,90.66
32,90.56
33,90.19
34,89.47
35,88.79
36,88.15
37,87.56
38,87.0
39,86.47
40,85.95
41,85.49
42,85.11
43,85.04
44,85.0
45,84.92
46,84.86
47,84.8
48,84.62
49,84.4
50,84.19
51,83.98
52,83.79
53,83.6
54,83.45
55,83.31
56,83.17
57,83.0
58,82.83
59,83.07
60,82.65
61,82.22
62,81.73
63,81.18
64,80.82
65,80.48
66,80.12
67,80.17
68,80.17
69,80.3
70,80.22
71,80.18
72,80.07
73,79.83
74,79.62
75,79.45
76,79.23
77,79.03
78,78.8
79,78.67
80,78.47
81,78.02
82,77.53
83,77.03
84,76.53
85,76.05
86,75.58
87,75.2
88,74.88
89,74.68
90,74.37
91,74.03
92,73.78
93,73.65
94,73.72
95,73.77
96,74.02
97,74.25
98,74.48
99,74.73
100,74.98
101,75.18
102,75.32
103,75.22
104,74.95
105,74.73
106,74.5
107,74.3
108,74.25
109,74.27
110,74.28
111,74.3
112,74.28
113,74.27
114,74.18
115,74.1
116,73.98
117,73.83
118,73.68
119,73.53
120,73.42
121,73.33
122,73.27
123,73.25
124,73.25
125,73.27
126,73.35
127,72.98
128,72.65
129,72.37
130,72.08
131,71.78
132,71.53
133,71.4
134,71.25
135,71.07
136,70.93
137,70.82
138,70.68
139,70.45
140,70.25
141,70.22
142,70.17
143,70.23
144,70.32
145,70.38
146,70.45
147,70.52
148,70.55
149,70.55
150,70.6
151,70.67
152,70.68
153,70.7
154,70.72
155,70.8
156,70.55
157,70.28
158,70.0
159,69.7
160,69.38
161,69.13
162,68.9
163,68.67
164,68.6
165,68.53
166,68.47
167,68.38
168,68.27
169,68.15
170,68.07
171,67.95
172,67.9
173,67.87
174,67.88
175,67.92
176,67.98
177,68.1
178,68.2
179,68.33
180,68.45
181,68.55
182,68.65
183,68.73
184,68.85
185,69.0
186,69.15
187,69.32
188,69.47
189,69.7
190,69.93
191,70.17
192,70.42
193,70.67
194,70.92
195,71.1
196,71.3
197,71.42
198,71.57
199,71.72
200,71.93
201,72.2
202,72.5
203,72.67
204,72.82
205,72.83
206,72.83
207,72.83
208,72.85
209,72.88
210,72.75
211,72.58
212,72.4
213,72.18
214,71.98
215,71.68
216,71.58
217,71.45
218,71.32
219,71.22
220,71.18
221,71.12
222,71.0
223,70.92
224,70.72
225,70.5
226,70.32
227,70.1
228,69.88
229,69.73
230,69.53
231,69.37
232,69.17
233,68.93
234,68.68
235,68.38
236,68.08
237,67.77
238,67.47
239,67.23
240,67.0
241,66.75
242,66.47
243,66.07
244,65.9
245,65.7
246,65.48
247,65.23
248,64.98
249,64.63
250,64.32
251,64.03
252,63.88
253,63.73
254,63.47
255,63.3
256,63.15
257,63.08
258,63.02
259,62.97
260,62.82
261,62.65
262,62.5
263,62.33
264,62.18
265,62.17
266,62.15
267,62.13
268,62.12
269,62.1
270,62.22
271,62.33
272,62.48
273,62.7
274,62.88
275,63.1
276,63.42
277,63.77
278,64.13
279,64.42
280,64.67
281,64.87
282,65.13
283,65.42
284,65.82
285,66.22
286,66.53
287,66.93
288,67.33
289,67.62
290,67.9
291,68.18
292,68.47
293,68.77
294,69.08
295,69.43
296,69.78
297,70.12
298,70.47
299,70.73
300,71.0
301,71.3
302,71.63
303,72.05
304,72.02
305,71.9
306,71.82
307,71.8
308,71.78
309,71.7
310,71.62
311,71.52
312,71.3
313,71.08
314,71.0
315,70.9
316,70.77
317,70.62
318,70.48
319,70.35
320,70.2
321,70.08
322,69.92
323,69.78
324,69.63
325,69.68
326,69.75
327,69.78
328,69.8
329,69.75
330,69.7
331,69.65
332,69.62
333,69.67
334,69.77
335,69.88
336,69.68
337,69.48
338,69.28
339,69.15
340,68.95
341,68.82
342,68.67
343,68.72
344,68.72
345,68.72
346,68.77
347,68.68
348,68.6
349,68.5
350,68.38
351,68.3
352,68.22
353,68.13
354,68.03
355,67.93
356,67.83
357,67.75
358,67.67
359,67.6
360,67.6
361,67.6
362,67.58
363,67.47
364,67.53
365,67.68
366,67.8
367,67.85
368,67.92
369,68.03
370,68.17
371,68.25
372,68.3
373,68.35
374,68.43
375,68.43
376,68.47
377,68.53
378,68.68
379,68.77
380,68.93
381,69.15
382,69.38
383,69.6
384,69.82
385,69.8
386,69.82
387,69.85
388,69.83
389,69.88
390,69.92
391,69.97
392,70.07
393,70.1
394,70.08
395,70.07
396,70.22
397,70.4
398,70.6
399,70.78
400,71.02
401,71.22
402,71.4
403,71.35
404,71.3
405,71.23
406,71.13
407,71.12
408,71.12
409,71.13
410,71.18
411,71.53
412,71.88
413,72.22
414,72.53
415,72.85
416,73.15
417,73.45
418,73.72
419,73.98
420,74.18
421,74.32
422,74.48
423,74.82
424,75.13
425,75.45
426,75.75
427,75.98
428,76.25
429,76.6
430,76.92
431,77.23
432,77.57
433,77.9
434,78.15
435,78.45
436,78.77
437,79.07
438,79.28
439,79.58
440,79.85
441,79.8
442,79.78
443,79.78
444,79.82
445,79.87
446,79.87
447,79.87
448,79.92
449,79.97
450,80.03
451,80.13
452,80.13
453,80.18
454,80.3
455,80.42
456,80.53
457,80.63
458,80.7
459,80.77
460,80.83
461,80.92
462,81.03
463,81.27
464,81.52
465,81.78
466,82.08
467,82.37
468,82.65
469,82.93
470,83.2
471,83.12
472,83.03
473,82.97
474,82.9
475,82.82
476,82.75
477,82.68
478,82.6
479,82.47
480,82.33
481,82.23
482,82.1
483,81.92
484,81.73
485,81.57
486,81.45
487,81.42
488,81.38
489,81.28
490,81.22
491,81.2
492,81.18
493,81.18
494,81.22
495,81.23
496,81.18
497,81.08
498,81.0
499,80.92
500,80.82
501,81.05
502,81.25
503,81.43
504,81.58
505,81.73
506,81.88
507,82.03
508,82.17
509,82.32
510,82.45
511,82.57
512,82.72
513,82.78
514,82.8
515,82.73
516,82.68
517,82.65
518,82.62
519,82.57
520,82.53
521,82.5
522,82.43
523,82.22
524,81.98
525,81.73
526,81.5
527,81.25
528,80.97
529,80.68
530,80.42
531,80.18
532,79.97
533,79.77
534,79.58
535,79.43
536,79.27
537,79.1
538,78.97
539,78.85
540,78.77
541,78.7
542,78.65
543,78.6
544,78.53
545,78.45
546,78.22
547,78.02
548,77.83
549,77.58
550,77.3
551,77.03
552,76.8
553,76.57
554,76.35
555,76.18
556,76.02
557,75.88
558,75.73
559,75.53
560,75.35
561,75.12
562,74.9
563,74.7
564,74.53
565,74.37
566,74.22
567,74.08
568,73.95
569,73.77
570,73.6
571,73.37
572,73.13
573,72.93
574,72.77
575,72.62
576,72.45
577,72.28
578,72.12
579,71.92
580,71.7
581,71.48
582,71.48
583,71.48
584,71.52
585,71.58
586,71.62
587,71.65
588,71.68
589,71.75
590,71.82
591,71.87
592,71.88
593,71.92
594,71.93
595,71.88
596,71.83
597,71.8
598,71.73
599,71.55
600,71.32
601,71.15
602,70.95
603,70.8
604,70.68
605,70.55
606,70.48
607,70.35
608,70.22
609,70.22
610,70.32
611,70.4
612,70.45
613,70.48
614,70.48
615,70.47
616,70.48
617,70.48
618,70.48
619,70.5
620,70.47
621,70.42
622,70.37
623,70.3
624,70.18
625,70.02
626,69.82
627,69.58
628,69.37
629,69.2
630,69.0
631,68.88
632,68.77
633,68.67
634,68.53
635,68.43
636,68.32
637,68.22
638,68.32
639,68.47
640,68.63
641,68.82
642,68.8
643,68.85
644,68.92
645,68.97
646,69.03
647,69.12
648,69.2
649,69.3
650,69.42
651,69.53
652,69.67
653,69.77
654,69.88
655,70.03
656,70.18
657,70.3
658,70.45
659,70.68
660,70.95
661,71.13
662,71.35
663,71.5
664,71.65
665,71.78
666,71.97
667,72.2
668,72.4
669,72.53
670,72.6
671,72.67
672,72.75
673,72.85
674,72.97
675,73.05
676,73.12
677,73.2
678,73.25
679,73.35
680,73.47
681,73.58
682,73.72
683,73.87
684,74.05
685,74.27
686,74.62
687,74.95
688,75.18
689,75.45
690,75.73
691,75.93
692,76.12
693,76.28
694,76.48
695,76.7
696,76.95
697,77.17
698,77.2
699,77.27
700,77.32
701,77.37
702,77.42
703,77.4
704,77.4
705,77.38
706,77.38
707,77.4
708,77.45
709,77.45
710,77.43
711,77.43
712,77.43
713,77.45
714,77.48
715,77.57
716,77.68
717,77.8
718,77.9
719,78.0
720,78.1
721,78.15
722,78.22
723,78.32
724,78.42
725,78.58
726,78.73
727,78.85
728,78.93
729,79.02
730,79.07
731,79.1
732,79.13
733,79.13
734,79.12
735,79.12
736,79.12
737,79.08
738,79.07
739,79.0
740,78.95
741,78.95
742,78.97
743,79.0
744,79.05
745,79.18
746,79.2
747,79.27
748,79.47
749,79.6
750,79.73
751,79.92
752,80.12
753,80.32
754,80.5
755,80.7
756,80.83
757,80.97
758,81.12
759,81.2
760,81.27
761,81.32
762,81.35
763,81.37
764,81.4
765,81.48
766,81.57
767,81.63
768,81.65
769,81.65
770,81.67
771,81.67
772,81.57
773,81.37
774,81.18
775,80.95
776,80.7
777,80.45
778,80.22
779,80.03
780,79.8
781,79.62
782,79.47
783,79.28
784,79.13
785,78.92
786,78.67
787,78.63
788,78.53
789,78.43
790,78.35
791,78.28
792,78.2
793,78.03
794,77.88
795,77.73
796,77.6
797,77.55
798,77.48
799,77.48
800,77.58
801,77.67
802,77.72
803,77.78
804,77.8
805,77.75
806,77.67
807,77.53
808,77.37
809,77.2
810,77.03
811,76.83
812,76.67
813,76.47
814,76.25
815,76.0
816,75.77
