,HRV
0,880.1582073128462
1,869.1537605380657
2,856.0589278989978
3,842.3018898851367
4,828.5601791794769
5,814.8416272823987
6,801.3475061211533
7,786.2279467655321
8,773.7033669034568
9,761.201532301882
10,750.3252826635637
11,740.8364012264403
12,732.2347038460592
13,696.5364783117212
14,328.6163599052145
15,314.81507556857946
16,315.21384040708716
17,242.4341265761351
18,244.05699358983867
19,244.26467175681745
20,243.14381065563182
21,248.09862026326527
22,248.73798374020416
23,250.7255747638754
24,254.31279440113983
25,238.3163599484657
26,237.32924997000802
27,216.75197338672825
28,212.88081428019825
29,213.21373813838986
30,213.51787715571757
31,218.24507415489487
32,229.96667054235616
33,236.6740963983292
34,235.334939295588
35,266.5372697877454
36,268.8658550787446
37,267.1504350546492
38,268.07536630269755
39,263.74230571532024
40,268.5962534810542
41,267.0535797047834
42,266.68614786212885
43,264.8871975751824
44,261.5020831227282
45,268.62171906755543
46,270.5517238516471
47,270.5517238516471
48,274.2946994904888
49,277.44237146451405
50,275.3062085668931
51,274.86758349966726
52,276.54750084246217
53,248.50095840419445
54,236.66066271073842
55,236.99770036878155
56,237.1565239676732
57,253.87209928481965
58,248.6308466571116
59,249.47668753132527
60,338.08121420160154
61,389.32918129600824
62,391.1195269297093
63,390.7813104733741
64,390.0386037358468
65,389.88135755316324
66,389.07173924452417
67,389.22580575248384
68,389.8125024794288
69,387.6553194576777
70,387.5098543757535
71,387.5592963730149
72,388.8229518651104
73,390.9185362502091
74,388.8229518651104
75,388.08807236829244
76,387.54987455197335
77,387.5772453120872
78,349.5946478798436
79,247.65191038194519
80,248.08360892176552
81,247.0637020258541
82,250.41490045914784
83,257.0293567498254
84,266.7761104515347
85,271.0697582083904
86,264.5558111486796
87,266.49039756011325
88,266.7949057886064
89,266.7949057886064
90,266.4120275929631
91,266.333544583089
92,269.8886028584594
93,267.4223821742744
94,267.3003384131501
95,264.67998512067715
96,264.67998512067715
97,264.8170713314484
98,264.81707133144835
99,264.77861539618533
100,261.34124412427366
101,247.33005331807087
102,216.08618084301682
103,141.56426001381624
104,86.9463316552802
105,171.97531209509418
106,214.0588535143509
107,213.5582947624421
108,213.7550009528539
109,213.79707262680333
110,213.85333649488285
111,213.96122377928228
112,213.97541647259067
113,214.38071249598306
114,214.38071249598306
115,220.4590189918264
116,219.8003143942289
117,219.33792859548268
118,219.28114621711086
119,219.28114621711086
120,219.33792859548268
121,220.3508116677289
122,221.3668689028647
123,206.3378716233196
124,155.53568610707194
125,155.94790976920171
126,155.96615698905384
127,155.98437357062352
128,155.96615698905384
129,155.83507129338062
130,155.58831693692525
131,150.13930773996483
132,150.18360230979818
133,77.35401707657408
134,52.79266873523054
135,39.99159386088304
136,553.2108461178349
137,586.1404335871256
138,585.3190209326259
139,585.2510263191888
140,584.5207643178596
141,583.0979431183326
142,583.0527971161532
143,583.0326332517834
144,582.0918290207202
145,580.8227945328638
146,579.6044932669398
147,577.9848985588586
148,576.7375005097339
149,575.8496957523042
150,573.5906930488138
151,573.5906930488138
152,571.518225091174
153,571.3629497853605
154,414.63778460776183
155,259.59328285754486
156,253.3955849171952
157,250.27378427245992
158,228.77453497198934
159,221.8688377380359
160,222.12825640112538
161,224.68998805324424
162,227.53598589409137
163,227.53598589409137
164,229.4192435652304
165,226.9822353339917
166,227.70729707363697
167,229.2144381426516
168,200.05964823893657
169,199.99629315031456
170,187.03413290651488
171,187.6872969241066
172,187.59788098600188
173,185.8711069578385
174,185.79015834687542
175,176.62070587085682
176,176.62070587085682
177,238.01848025917062
178,241.05881395087016
179,235.42068240269745
180,234.80350733610268
181,232.3759614699268
182,244.03091699675247
183,242.9987007477928
184,242.47176576133842
185,242.03590636529552
186,242.9534554852016
187,240.7964996741529
188,243.72241415456725
189,243.6431876544218
190,243.77287134401055
191,244.6230273054367
192,244.8272168594296
193,244.7499057389967
194,244.646396052098
195,214.6736407086282
196,214.08885648001132
197,212.55013362732853
198,213.49924057904167
199,213.8671792536049
200,194.47781113492053
201,193.41874430839718
202,189.45066674002723
203,216.34895131920658
204,233.07267959217202
205,232.46745026718887
206,220.1850367516616
207,220.24601775068908
208,219.7213086533236
209,239.6945541825153
210,239.64483474429287
211,239.45589745197861
212,239.26554487235256
213,239.0737675642464
214,255.21648140891847
215,282.30456418922597
216,281.4967718526515
217,282.2049041490428
218,282.4060015265733
219,281.75410129179124
220,281.75410129179124
221,276.2440458793982
222,268.468804889753
223,272.25240663650465
224,282.2483587369508
225,280.25644295648243
226,278.8192977389497
227,275.58919881532137
228,275.17672239790414
229,273.156023192965
230,270.23207645792627
231,295.87710557705446
232,310.28493660135916
233,328.136950225383
234,325.79672206574213
235,326.91732085378845
236,321.8037350577556
237,323.06946806627064
238,319.06474980288306
239,318.9917765892268
240,329.5509663478644
241,345.58005266619483
242,432.57082666294593
243,431.09732925972594
244,432.7536271916245
245,431.85370978209113
246,432.0045475594236
247,430.261859571229
248,431.37638535421684
249,434.8842076797701
250,433.41478040914564
251,430.7172403010482
252,432.20475151819886
253,485.4180046997293
254,519.6453111468481
255,520.2332700928182
256,525.2858008045987
257,528.6552744537962
258,531.4458750567801
259,529.8780687380022
260,488.16238210098226
261,488.2752253884997
262,487.9560207062482
263,486.45185008051743
264,486.0814892948623
265,488.0939978128276
266,489.0135665005334
267,489.5744165629548
268,490.93442493041465
269,495.3062976161429
270,495.0616123034055
271,431.68901955553497
272,279.9611126520608
273,280.74106375744844
274,280.74106375744844
275,281.9551874387788
276,280.5422278418933
277,285.17469497937617
278,332.75226984649964
279,337.78854686198133
280,336.56925039004466
281,343.13957217645213
282,341.7027251557319
283,341.93948145662245
284,340.9011635143852
285,338.8686892940592
286,336.29222297450906
287,311.7907143204968
288,312.7792072905814
289,312.394151963036
290,310.9310404967763
291,307.60868452980174
292,305.3020928841115
293,303.2198500569149
294,304.7644696208012
295,304.0560322401418
296,247.06825500930057
297,238.5583412066618
298,240.38690661475246
299,212.3700684709013
300,238.37383201230492
301,248.53000351051563
302,248.5300035105156
303,251.88424372724918
304,255.2715413884367
305,257.06859104803533
306,253.45051787838443
307,255.29814315634792
308,254.70356415745871
309,251.80952672506658
310,240.02074568420585
311,361.4006990559764
312,361.9653303661568
313,386.5084170823194
314,387.36701918508265
315,387.36701918508265
316,387.93515564462416
317,388.39339057851316
318,385.12391609234413
319,387.7665266468007
320,388.4773877819232
321,388.57455063641225
322,388.1907074484245
323,387.5132592166286
324,388.30390940945404
325,387.5443159478408
326,387.79378847112815
327,387.6322229092417
328,386.86954476089613
329,316.5085567928358
330,316.9966061427942
331,252.84473530486218
332,252.93773636625457
333,253.03049300877643
334,253.5745394728693
335,253.86252796437802
336,253.86252796437802
337,214.1346616745417
338,214.1346616745417
339,178.43192460047982
340,238.96716081460704
341,239.50339465085491
342,241.51384535592356
343,241.3240053643636
344,242.47936633623607
345,243.2434689493274
346,241.44696543735162
347,241.44696543735162
348,240.0113789794043
349,238.3716724666713
350,237.1478068905496
351,237.21149733365522
352,235.31127926111577
353,233.03736040852039
354,231.95973495385124
355,234.8234462311314
356,232.9889280224823
357,260.57974258933683
358,236.45414080929604
359,239.61796274486332
360,240.30919251790985
361,241.40168208629467
362,241.86084092390576
363,243.4369165927965
364,324.57723405381506
365,386.25150146208887
366,387.21364314669677
367,388.6835712916909
368,389.4288262279316
369,387.41404576815114
370,388.6314520660882
371,388.0825604647506
372,388.9915677464558
373,389.2158094485347
374,391.15853015973227
375,388.2961018445613
376,388.8205295846059
377,388.84816952877264
378,394.7524393441658
379,398.0512560482079
380,397.40537680584396
381,416.84338894635016
382,402.2398406344888
383,358.7212311862163
384,359.196325738155
385,359.196325738155
386,359.12855158926817
387,361.3126493903529
388,360.0773008351419
389,361.79997106111466
390,362.2805291605896
391,363.8508890468254
392,362.6348313566807
393,362.71908464928003
394,361.9886106494883
395,361.7332051104797
396,351.3787454965027
397,342.7115313414073
398,342.3556043944604
399,295.99819524102486
400,283.72593705974555
401,289.7482436636099
402,675.6313123083254
403,674.9366397694376
404,668.9193400366563
405,660.0894285618713
406,650.3517474302804
407,635.6393159220338
408,620.681738137201
409,614.6834874198886
410,608.9238784801017
411,602.9924303413642
412,595.3123140964442
413,589.3392745622814
414,582.6427974854745
415,577.2979508632294
416,433.1383780725978
417,394.40047884471863
418,394.639009488682
419,348.9334763556466
420,343.9123928106563
421,344.5411973466961
422,344.80266157866515
423,345.0368600108149
424,345.2919613735462
425,261.7757199025237
426,122.96575253878038
427,123.05171752956277
428,122.99117285993934
429,122.99117285993934
430,97.25258037991422
431,96.74232671709801
432,31.94530670954599
433,209.02414430620053
434,209.66771284441708
435,218.7627274532428
436,218.35151059902958
437,218.3150678423391
438,218.31506784233903
439,218.2785272263945
440,218.10871424905528
441,218.1457389808319
442,218.15837757966645
443,218.0627073006763
444,218.0499810793956
445,218.0499810793956
446,261.01783438617105
447,391.5457739563414
448,397.2400338487577
449,395.801591352838
450,395.9475294268935
451,394.59297806437655
452,395.4736749695728
453,396.39899364132623
454,396.7238920985933
455,396.75260905387626
456,396.7598234002712
457,396.7245284876928
458,396.82947973429293
459,396.80804565708786
460,395.92176714753265
461,395.3672471011698
462,395.0801941908193
463,393.5711407635358
464,388.26670161479586
465,255.61053828881168
466,261.20933445187984
467,279.21675336085724
468,296.70179562782084
469,296.4611301200787
470,296.10498154037816
471,296.04249204531214
472,295.3400082585715
473,295.3239875669905
474,295.2602289146355
475,295.3861060945949
476,295.3861060945949
477,295.4496691744182
478,296.4119366116598
479,294.5957248052645
