,HRV
0,657.5373893166702
1,644.3513701108501
2,629.3007229271888
3,617.7883425031969
4,606.868145183443
5,596.563714407695
6,586.9174555236331
7,577.9191794135111
8,630.6959476802678
9,621.3885850087082
10,611.4508470862688
11,605.5775450057156
12,524.6228434151427
13,505.9583109503624
14,507.19253492032476
15,507.89971348137885
16,507.8475764202591
17,508.93947238156073
18,509.1744232702082
19,509.9426764431863
20,509.83348630509397
21,509.5890315181168
22,508.4543561771424
23,508.337181066156
24,508.29141596360563
25,312.03705484657036
26,230.67223662552502
27,142.18613011669478
28,141.61847663554698
29,141.61847663554698
30,141.50615389120546
31,144.15905022138074
32,179.25852328285941
33,250.40276317203828
34,249.7815898229766
35,249.8285847932065
36,249.46351839575541
37,305.5716279029961
38,394.06612241396795
39,395.8823333434537
40,393.9771150313732
41,392.1597471063588
42,391.2213845492342
43,388.9893653542435
44,413.18693007637876
45,564.9159783562061
46,563.0676295284889
47,558.8799126757398
48,560.2686645079482
49,560.3683036337892
50,563.7558439740112
51,558.5663360375677
52,555.1165218591369
53,548.8775437972752
54,548.7018956365587
55,545.4361106842882
56,545.841534123548
57,547.1738633245528
58,545.5513863148182
59,541.6555953361773
60,541.9261710998442
61,557.4238365899248
62,427.90247010317665
63,431.3562248935585
64,433.08138976416427
65,426.93553082716005
66,419.33730978869005
67,421.5577721462647
68,421.37162664566665
69,423.2408752695997
70,428.64217824181975
71,427.91003666656036
72,428.8753126286795
73,433.1090806823603
74,435.2116741184439
75,437.2618308501785
76,435.5019314207253
77,439.32614060793054
78,354.6532869290432
79,323.5003120160705
80,323.3524223541282
81,325.40667097853816
82,305.9755381728238
83,304.7594271778163
84,305.69002559365487
85,295.01908092056044
86,295.76958794927515
87,295.9998847353301
88,296.2933750223051
89,295.9946358978878
90,295.9946358978878
91,295.92102732996085
92,260.13518430528427
93,142.63504424213076
94,154.85388545096413
95,239.9894651254061
96,240.10064827167858
97,240.34488276827167
98,240.34488276827167
99,292.4129851115386
100,333.07904517814745
101,333.07904517814745
102,331.33381402938414
103,331.33381402938414
104,331.27872166632267
105,331.6225820695018
106,332.23398634211014
107,332.2742444951245
108,332.39392037190066
109,333.9478176153442
110,334.13820338696627
111,335.6205371268664
112,323.21929178419856
113,323.18042644734857
114,323.98764298930337
115,324.0580655689254
116,288.88371313348773
117,128.47728942588898
118,128.47728942588898
119,23.63107688098249
120,23.81643285834695
121,23.53673936171501
122,19.120062906034825
123,19.57562170346469
124,82.85215542053629
125,106.9945037682844
126,170.29973544319427
127,172.21494753723798
128,173.5294633622147
129,173.50717848753035
130,173.4054156414464
131,173.4054156414464
132,225.0163619068187
133,353.7480677678771
134,353.34034631265496
135,352.842646529384
136,352.842646529384
137,351.57318502496696
138,351.4910680640928
139,351.4910680640928
140,351.43994141809594
141,352.3033860815471
142,353.3697872035437
143,353.1177987820759
144,353.0818125928425
145,360.05758525654664
146,368.44728264359003
147,368.44728264359003
148,368.2850328366122
149,365.52806752934606
150,269.4373919910879
151,270.0361525891999
152,270.7701952723778
153,271.1643342386476
154,272.1559309324146
155,272.4364063610497
156,272.50021358059155
157,272.50021358059155
158,271.0477038829817
159,309.34811212144353
160,307.1387593529223
161,309.30521493595484
162,300.70058559407363
163,279.3111118117841
164,277.73959160962943
165,277.9918713694844
166,278.0609679491457
167,279.16708137918715
168,279.16708137918715
169,279.02893705527515
170,279.0222532653565
171,279.0222532653565
172,278.5218853066396
173,278.5094894875434
174,278.5094894875434
175,279.29394083694945
176,299.74942974443064
177,402.55735328458326
178,409.2067341941379
179,409.2067341941379
180,408.26875549868515
181,408.1475126557231
182,408.01228439646525
183,407.97547187204873
184,407.7514042826177
185,407.72365150428635
186,406.85592904540084
187,405.7611608909589
188,403.4979378971701
189,403.46397537854483
190,403.4299901463132
191,403.35247287959436
192,401.9620038277091
193,384.1908439954327
194,264.20215739935225
195,216.1586348503991
196,214.0310172090139
197,225.9434594577427
198,226.3807111228548
199,226.71436239719282
200,226.71436239719282
201,242.23001378684174
202,254.336482245482
203,356.89057174726753
204,401.04317558340034
205,401.15997034234726
206,398.6255011737944
207,397.0737897817903
208,396.9421417427523
209,398.1181049425216
210,400.4813855279014
211,403.8922188165158
212,405.50349505120397
213,408.40736697414803
214,410.6640287069613
215,411.74319203569235
216,419.1340512419677
217,461.6706879020113
218,465.1972857670098
219,465.6278290397557
220,441.565755180876
221,408.597932825668
222,409.4274996465155
223,408.67720110748144
224,408.7129422805831
225,411.25230883989235
226,410.15229971379694
227,410.22516906909135
228,409.4764070337194
229,409.465524718124
230,409.4980113790057
231,409.3304336765016
232,406.9790026520579
233,396.72274896790907
234,259.1688721963253
235,259.23268398805493
236,260.57777927391675
237,261.0071235322101
238,260.935643572125
239,249.6857116818884
240,248.51319383970971
241,237.48970679344848
242,161.86064408700173
243,159.5199645879016
244,159.7238239946315
245,160.425758769265
246,160.425758769265
247,160.45065445109788
248,160.9112151406538
249,135.0294418714827
250,135.10188787288618
251,134.70200425212914
252,134.70200425212914
253,134.63905186598421
254,134.63905186598421
255,134.81363201916122
256,134.13696782402755
257,128.60498665836423
258,128.64322175302772
259,14.821751569126205
260,14.821751569126205
261,14.821751569126205
262,16.840761177811242
263,18.16577981925776
264,18.879511085326573
265,23.63107688098249
266,23.81643285834695
267,23.990094049847002
268,24.152748069391155
269,24.39073491539369
270,24.305001656105823
271,24.305001656105823
272,24.39073491539369
273,24.21108846554218
274,37.86393849758306
275,37.760937559716076
276,37.760937559716076
277,43.2172518399972
278,75.80043448140977
279,75.7091109201304
280,75.81298047985479
281,75.81298047985479
282,75.90039271770947
283,75.7584903757802
284,75.51397350068605
285,75.46915074044662
286,75.62222520614125
287,75.57831150512257
288,75.57831150512257
