,Timestamp,HR
0,1560951542.0,93.75
1,1560951543.0,93.77
2,1560951544.0,93.77
3,1560951545.0,93.77
4,1560951546.0,93.77
5,1560951547.0,93.73
6,1560951548.0,93.7
7,1560951549.0,93.65
8,1560951550.0,93.55
9,1560951551.0,93.42
10,1560951552.0,93.27
11,1560951553.0,93.08
12,1560951554.0,92.9
13,1560951555.0,92.77
14,1560951556.0,92.7
15,1560951557.0,92.82
16,1560951558.0,92.95
17,1560951559.0,93.12
18,1560951560.0,93.33
19,1560951561.0,93.55
20,1560951562.0,93.77
21,1560951563.0,94.0
22,1560951564.0,94.22
23,1560951565.0,94.42
24,1560951566.0,94.6
25,1560951567.0,94.8
26,1560951568.0,94.98
27,1560951569.0,95.17
28,1560951570.0,95.37
29,1560951571.0,95.53
30,1560951572.0,95.72
31,1560951573.0,95.87
32,1560951574.0,96.05
33,1560951575.0,96.18
34,1560951576.0,96.28
35,1560951577.0,96.37
36,1560951578.0,96.43
37,1560951579.0,96.5
38,1560951580.0,96.57
39,1560951581.0,96.68
40,1560951582.0,96.72
41,1560951583.0,96.78
42,1560951584.0,96.9
43,1560951585.0,97.02
44,1560951586.0,97.15
45,1560951587.0,97.28
46,1560951588.0,97.4
47,1560951589.0,97.48
48,1560951590.0,97.53
49,1560951591.0,97.63
50,1560951592.0,97.72
51,1560951593.0,97.82
52,1560951594.0,97.87
53,1560951595.0,97.92
54,1560951596.0,97.97
55,1560951597.0,98.03
56,1560951598.0,98.12
57,1560951599.0,98.15
58,1560951600.0,98.2
59,1560951601.0,98.27
60,1560951602.0,98.38
61,1560951603.0,98.5
62,1560951604.0,98.72
63,1560951605.0,98.87
64,1560951606.0,99.02
65,1560951607.0,99.22
66,1560951608.0,99.42
67,1560951609.0,99.58
68,1560951610.0,99.75
69,1560951611.0,99.9
70,1560951612.0,100.05
71,1560951613.0,100.05
72,1560951614.0,100.07
73,1560951615.0,100.1
74,1560951616.0,100.1
75,1560951617.0,99.93
76,1560951618.0,99.78
77,1560951619.0,99.63
78,1560951620.0,99.45
79,1560951621.0,99.27
80,1560951622.0,99.03
81,1560951623.0,98.77
82,1560951624.0,98.48
83,1560951625.0,98.2
84,1560951626.0,97.9
85,1560951627.0,97.57
86,1560951628.0,97.23
87,1560951629.0,96.88
88,1560951630.0,96.52
89,1560951631.0,96.17
90,1560951632.0,95.82
91,1560951633.0,95.48
92,1560951634.0,95.12
93,1560951635.0,94.8
94,1560951636.0,94.5
95,1560951637.0,94.22
96,1560951638.0,93.95
97,1560951639.0,93.7
98,1560951640.0,93.47
99,1560951641.0,93.23
100,1560951642.0,93.1
101,1560951643.0,92.98
102,1560951644.0,92.83
103,1560951645.0,92.7
104,1560951646.0,92.57
105,1560951647.0,92.43
106,1560951648.0,92.32
107,1560951649.0,92.25
108,1560951650.0,92.2
109,1560951651.0,92.12
110,1560951652.0,92.07
111,1560951653.0,92.02
112,1560951654.0,92.02
113,1560951655.0,92.02
114,1560951656.0,92.05
115,1560951657.0,92.07
116,1560951658.0,92.07
117,1560951659.0,92.05
118,1560951660.0,91.92
119,1560951661.0,91.82
120,1560951662.0,91.65
121,1560951663.0,91.47
122,1560951664.0,91.22
123,1560951665.0,91.03
124,1560951666.0,90.85
125,1560951667.0,90.6
