Time,Heart Rate
14:57:34,70
14:57:39,70
14:57:49,70
14:57:54,69
16:24:34,70
16:25:06,70
16:25:21,70
16:25:26,70
16:25:35,70
18:06:01,70
18:06:25,70
18:06:40,74
18:06:45,80
18:06:50,82
18:06:55,84
18:07:00,83
18:07:05,81
18:07:15,80
18:07:20,78
18:07:35,78
18:07:50,78
18:08:00,77
18:08:05,73
18:08:10,70
18:08:20,71
18:08:35,70
18:08:40,68
18:08:45,65
18:08:50,64
18:08:55,62
18:09:05,63
18:09:10,64
18:09:20,63
18:09:25,62
18:09:30,61
18:09:35,60
18:09:45,62
18:09:50,66
18:10:00,65
18:10:05,66
18:10:20,66
18:10:25,68
18:10:30,70
18:10:45,69
18:10:50,68
18:10:55,67
18:11:00,66
18:11:05,67
18:11:20,67
18:11:35,66
18:11:45,65
18:12:00,65
18:12:05,66
18:12:20,66
18:12:35,65
18:12:40,67
18:12:45,69
18:12:55,70
18:13:00,71
18:13:05,73
18:13:10,75
18:13:20,73
18:13:27,73
18:13:32,74
18:13:42,75
18:13:47,76
18:13:52,78
18:14:02,79
18:14:07,78
18:14:17,81
18:14:22,83
18:14:27,85
18:14:32,87
18:14:37,85
18:14:42,84
18:14:57,84
18:15:12,83
18:15:22,82
18:15:27,81
18:15:37,82
18:15:47,80
18:15:52,78
18:16:07,79
18:16:12,80
18:16:17,81
18:16:22,79
18:16:32,80
18:16:37,81
18:16:47,82
18:16:52,83
18:16:57,81
18:17:12,80
18:17:17,85
18:17:22,94
18:17:27,95
18:17:32,99
18:17:37,100
18:17:42,99
18:17:52,94
18:18:07,94
18:18:12,93
18:18:22,94
18:18:32,97
18:18:42,95
18:18:52,96
18:18:57,97
18:19:12,97
18:19:17,96
18:19:22,97
18:19:27,98
18:19:42,98
18:19:47,98
18:19:52,99
18:19:57,100
18:20:04,100
18:20:09,101
18:20:19,102
18:20:24,102
18:20:34,100
18:20:39,96
18:20:49,95
18:20:59,96
18:21:04,95
18:21:14,96
18:21:19,97
18:21:24,98
18:21:39,98
18:21:44,97
18:21:49,96
18:21:59,95
18:22:04,94
18:22:09,93
18:22:19,92
18:22:29,93
18:22:39,95
18:22:44,97
18:22:49,98
18:23:04,99
18:23:14,97
18:23:29,99
18:23:34,101
18:23:39,102
18:23:44,104
18:23:49,106
18:23:54,105
18:24:04,104
18:24:14,105
18:24:29,105
18:24:34,106
18:24:49,104
18:24:54,101
18:24:59,100
18:25:09,98
18:25:14,97
18:25:19,102
18:25:24,106
18:25:29,107
18:25:34,103
18:25:39,102
18:25:54,101
18:25:59,104
18:26:04,106
18:26:09,105
18:26:14,104
18:26:19,105
18:26:24,103
18:26:39,100
18:26:54,102
18:26:59,103
18:27:04,105
18:27:09,102
18:27:14,97
18:27:19,98
18:27:24,88
18:27:29,86
18:27:34,87
18:27:39,88
18:27:44,90
18:27:49,91
18:27:54,89
18:28:04,91
18:28:09,93
18:28:24,93
18:28:29,90
18:28:34,89
18:28:39,88
18:28:44,87
18:28:49,86
18:29:04,86
18:29:30,86
18:29:35,85
18:29:45,91
18:29:55,85
18:30:00,83
18:30:05,82
18:30:10,81
18:30:15,79
18:30:25,81
18:30:35,82
18:30:50,83
18:30:55,81
18:31:05,79
18:31:10,80
18:31:15,81
18:31:20,82
18:31:30,79
18:31:35,77
18:31:50,79
18:31:55,79
18:32:00,78
18:32:05,84
18:32:10,87
18:32:15,86
18:32:20,87
18:32:25,88
18:32:30,87
18:32:35,86
18:32:40,86
18:32:45,85
18:32:50,84
18:33:00,84
18:33:15,84
18:33:20,85
18:33:30,86
18:33:45,87
18:33:50,85
18:34:05,87
18:34:20,86
18:34:25,85
18:34:30,84
18:34:35,80
18:34:40,76
18:34:45,75
18:34:50,74
18:34:55,73
18:35:00,72
18:35:10,73
18:35:15,72
18:35:30,72
18:35:35,71
18:35:40,70
18:35:50,69
18:36:05,69
18:36:10,70
18:36:20,69
18:36:35,70
18:36:40,71
18:36:55,71
18:37:10,74
18:37:15,79
18:37:30,82
18:37:35,83
18:37:45,82
18:37:55,83
18:38:05,82
18:38:10,79
18:38:15,78
18:38:30,79
18:38:40,77
18:38:45,76
18:38:50,71
18:38:55,69
18:39:00,71
18:39:15,71
18:39:20,69
18:39:25,69
18:39:30,71
18:39:35,71
18:39:40,71
18:39:45,72
18:39:50,72
18:39:55,72
18:40:10,72
18:40:25,73
18:40:30,74
18:40:35,75
18:40:40,73
18:40:45,73
18:40:50,75
18:40:55,79
18:41:00,80
18:41:15,80
18:41:20,83
18:41:25,90
18:41:30,91
18:41:35,91
18:41:40,94
18:41:55,91
18:42:00,90
18:42:15,89
18:42:20,88
18:42:35,89
18:42:50,90
18:43:00,91
18:43:15,91
18:43:25,78
18:43:30,74
18:43:35,75
18:43:40,77
18:43:45,74
18:43:50,70
18:43:55,69
18:44:00,72
18:44:15,73
18:44:20,74
18:44:25,78
18:44:40,78
18:44:45,76
18:44:50,73
18:44:55,69
18:45:00,69
18:45:05,70
18:45:10,73
18:45:15,74
18:45:20,75
18:45:30,76
18:45:45,76
18:45:55,74
18:46:00,76
18:46:10,77
18:46:15,78
18:46:30,78
18:46:45,79
18:46:50,79
18:46:55,80
18:47:05,79
18:47:10,78
18:47:15,76
18:47:30,76
18:47:35,76
18:47:40,75
18:47:55,74
18:48:00,74
18:48:05,76
18:48:10,77
18:48:15,77
18:48:25,76
18:48:30,76
18:48:40,77
18:48:50,78
18:49:00,77
18:49:05,76
18:49:10,75
18:49:20,76
18:49:25,77
18:49:30,76
18:49:35,73
18:49:45,74
18:50:00,79
18:50:05,80
18:50:10,80
18:50:15,79
18:50:25,78
18:50:30,78
18:50:35,77
18:50:45,74
18:50:50,71
18:50:55,70
18:51:05,71
18:51:10,72
18:51:15,71
18:51:25,72
18:51:52,71
