Time,Heart Rate
15:42:45,70
16:57:33,70
16:57:48,70
16:57:53,70
16:57:58,72
16:58:03,78
16:58:13,79
16:58:18,78
16:58:28,78
16:58:43,78
16:58:48,80
16:58:53,79
16:59:03,78
16:59:08,77
16:59:13,78
16:59:28,78
16:59:38,79
16:59:43,78
16:59:48,79
16:59:58,77
17:00:03,75
17:00:08,74
17:00:13,75
17:00:18,76
17:00:33,76
17:00:48,76
17:00:53,77
17:01:07,77
17:01:17,76
17:01:22,75
17:01:32,75
17:01:42,76
17:01:47,77
17:02:02,76
17:02:07,75
17:02:22,75
17:02:37,75
17:02:52,75
17:03:07,75
17:03:17,76
17:03:22,77
17:03:27,77
17:03:32,77
17:03:37,76
17:03:42,75
17:03:52,76
17:03:57,77
17:04:02,76
17:04:07,75
17:04:17,77
17:04:22,77
17:04:37,76
17:04:47,75
17:05:02,75
17:05:07,74
17:05:12,72
17:05:27,73
17:05:37,74
17:05:52,74
17:05:57,75
17:06:02,74
17:06:12,73
17:06:17,70
17:06:22,69
17:06:27,68
17:06:37,69
17:06:42,72
17:06:47,73
17:07:02,73
17:07:17,75
17:07:22,78
17:07:27,80
17:07:32,82
17:07:37,83
17:07:42,86
17:07:47,84
17:08:02,84
17:08:07,82
17:08:12,81
17:08:17,82
17:08:22,83
17:08:27,84
17:08:37,86
17:08:52,88
17:08:57,89
17:09:02,90
17:09:07,88
17:09:12,87
17:09:17,85
17:09:22,85
17:09:37,85
17:09:52,85
17:10:02,86
17:10:17,87
17:10:22,88
17:10:27,87
17:10:32,85
17:10:37,84
17:10:42,84
17:10:47,86
17:11:02,84
17:11:17,85
17:11:27,84
17:11:42,84
17:11:57,85
17:12:02,84
17:12:07,75
17:12:12,76
17:12:17,77
17:12:32,78
17:12:37,82
17:12:42,87
17:12:47,91
17:13:02,89
17:13:07,85
17:13:22,85
17:13:27,86
17:13:42,87
17:13:47,89
17:14:02,87
17:14:17,87
17:14:27,88
17:14:37,88
17:14:47,86
17:14:52,84
17:14:57,86
17:15:02,92
17:15:07,85
17:15:12,85
17:15:17,87
17:15:27,88
17:15:42,88
17:15:47,85
17:15:55,85
17:16:00,86
17:16:15,88
17:16:20,90
17:16:25,91
17:16:40,91
17:16:45,90
17:16:50,89
17:17:05,89
17:17:10,90
17:17:15,89
17:17:25,88
17:17:35,86
17:17:45,87
17:17:55,88
17:18:00,89
17:18:05,90
17:18:20,90
17:18:25,89
17:18:40,91
17:18:45,90
17:18:50,89
17:18:55,87
17:19:10,86
17:19:25,85
17:19:40,85
17:19:50,87
17:19:55,88
17:20:00,89
17:20:05,88
17:20:15,89
17:20:30,89
17:20:40,89
17:20:45,88
17:20:50,87
17:21:05,86
17:21:10,83
17:21:15,81
17:21:20,80
17:21:35,81
17:21:40,80
17:21:45,79
17:21:50,78
17:22:00,79
17:22:05,81
17:22:10,84
17:22:20,82
17:22:25,82
17:22:30,81
17:22:35,83
17:22:40,84
17:22:45,83
17:22:50,82
17:22:55,78
17:23:00,78
17:23:10,80
17:23:20,81
17:23:25,76
17:23:30,75
17:23:40,76
17:23:45,77
17:23:50,80
17:24:00,80
17:24:15,78
17:24:30,78
17:24:35,77
17:24:40,76
17:24:45,75
17:24:50,75
17:24:55,76
17:25:05,75
17:25:20,78
17:25:30,77
17:25:35,78
17:25:50,78
17:25:55,76
17:26:00,74
17:26:10,75
17:26:15,77
17:26:30,77
17:26:45,77
17:26:50,76
17:27:00,77
17:27:05,78
17:27:10,79
17:27:15,78
17:27:20,77
17:27:30,76
17:27:35,74
17:27:50,74
17:28:00,73
17:28:05,75
17:28:15,76
17:28:20,77
17:28:35,78
17:28:40,79
17:28:55,80
17:29:05,79
17:29:15,78
17:29:25,79
17:29:30,76
17:29:45,76
17:29:50,75
17:30:00,74
17:30:10,76
17:30:15,78
17:30:20,79
17:30:25,80
17:30:30,80
17:30:35,80
17:30:40,81
17:30:50,82
17:31:05,84
17:31:10,85
17:31:15,84
17:31:20,82
17:31:35,82
17:31:50,84
17:31:55,86
17:32:00,87
17:32:05,86
17:32:20,86
17:32:30,86
17:32:40,88
17:32:45,89
17:32:50,89
17:33:05,89
17:33:10,88
17:33:25,87
17:33:30,84
17:33:40,84
17:33:50,83
17:34:00,84
17:34:05,86
17:34:10,87
17:34:15,86
17:34:30,86
17:34:35,87
17:34:45,88
17:34:55,85
17:35:00,87
17:35:05,88
17:35:15,87
17:35:25,87
17:35:30,88
17:35:45,88
17:35:50,87
17:35:55,88
17:36:00,90
17:36:05,93
17:36:10,94
17:36:15,95
17:36:20,94
17:36:30,92
17:36:35,90
17:36:40,89
17:36:50,88
17:37:05,88
17:37:15,87
17:37:20,86
17:37:26,85
17:37:36,86
17:37:46,85
17:38:01,85
17:38:06,87
17:38:11,89
17:38:16,90
17:38:21,89
17:38:26,88
17:38:31,84
17:38:36,83
17:38:41,84
17:38:56,84
17:39:01,83
17:39:11,82
17:39:21,83
17:39:31,82
17:39:36,83
17:39:41,84
17:39:51,86
17:39:56,85
17:40:06,84
17:40:11,85
17:40:16,86
17:40:31,86
17:40:46,86
17:40:56,83
17:41:01,77
17:41:11,76
17:41:26,76
17:41:36,77
17:41:41,78
17:41:56,78
17:42:01,79
17:42:06,78
17:42:21,78
17:42:36,78
17:42:41,77
17:42:51,76
17:42:56,75
17:43:01,76
17:43:16,76
17:43:21,75
17:43:26,74
17:43:41,74
17:43:51,75
17:44:01,74
17:44:06,72
17:44:16,73
17:44:21,74
17:44:31,75
17:44:41,74
17:44:56,74
17:45:11,73
17:45:16,72
17:45:21,71
17:45:31,72
17:45:36,74
17:45:51,74
17:45:56,75
17:46:06,76
17:46:11,77
17:46:21,76
17:46:26,74
17:46:31,73
17:46:46,74
17:46:51,73
17:46:56,74
17:47:01,73
17:47:06,70
17:47:16,71
17:47:31,71
17:47:41,72
17:47:46,73
17:47:56,72
17:48:01,72
17:48:16,72
17:48:26,73
17:48:31,74
17:48:36,73
17:48:41,71
