Time,Heart Rate
01:08:59,70
01:09:09,86
01:09:43,70
01:10:26,70
01:10:36,70
01:10:45,70
01:11:00,71
01:11:05,72
01:11:10,77
01:11:15,80
01:11:20,80
01:11:35,84
01:11:40,85
01:11:50,84
01:11:55,82
01:12:00,81
01:12:10,82
01:12:15,81
01:12:20,82
01:12:25,81
01:12:35,82
01:12:50,83
01:13:00,82
01:13:05,83
01:13:10,84
01:13:15,85
01:13:20,87
01:13:25,88
01:13:35,89
01:13:40,89
01:13:45,88
01:13:50,87
01:13:56,87
01:14:06,86
01:14:11,87
01:14:16,86
01:14:31,86
01:14:36,84
01:14:46,85
01:14:56,86
01:15:01,85
01:15:11,84
01:15:16,85
01:15:31,87
01:15:36,86
01:15:41,87
01:15:51,86
01:15:56,85
01:16:06,84
01:16:21,83
01:16:26,84
01:16:31,85
01:16:36,84
01:16:41,86
01:16:46,88
01:16:51,94
01:16:56,96
01:17:06,94
01:17:11,93
01:17:16,91
01:17:21,89
01:17:26,91
01:17:31,96
01:17:36,97
01:17:51,97
01:17:56,96
01:18:01,96
01:18:11,92
01:18:16,90
01:18:21,89
01:18:26,88
01:18:31,86
01:18:36,85
01:18:41,79
01:18:46,73
01:18:56,73
01:19:11,73
01:19:16,74
01:19:26,73
01:19:31,72
01:19:46,73
01:19:51,75
01:19:56,74
01:20:06,76
01:20:11,78
01:20:21,77
01:20:26,75
01:20:31,75
01:20:36,74
01:20:41,73
01:20:56,73
01:21:11,76
01:21:16,79
01:21:31,80
01:21:41,97
01:21:46,99
01:21:51,98
01:21:56,97
01:22:06,98
01:22:11,99
01:22:16,101
01:22:21,104
01:22:26,106
01:22:31,108
01:22:36,109
01:22:46,108
01:22:51,109
01:22:56,105
01:23:01,100
01:23:06,95
01:23:11,93
01:23:16,92
01:23:21,93
01:23:26,95
01:23:31,96
01:23:36,98
01:23:41,100
01:23:51,98
01:23:56,84
01:24:01,77
01:24:06,73
01:24:11,72
01:24:21,72
01:24:26,77
01:24:31,78
01:24:36,77
01:24:41,80
01:24:51,74
01:24:56,73
01:25:06,73
01:25:11,72
01:25:26,71
01:25:41,71
01:25:46,72
01:26:01,72
01:26:16,76
01:26:21,79
01:26:26,79
01:26:41,80
01:26:51,81
01:26:56,76
01:27:01,72
01:27:06,69
01:27:11,68
01:27:16,67
01:27:21,68
01:27:36,68
01:27:51,69
01:28:01,71
01:28:16,71
01:28:26,72
01:28:36,73
01:28:41,73
01:28:46,71
01:28:51,69
01:28:56,68
01:29:11,69
01:29:16,70
01:29:21,72
01:29:26,74
01:29:41,74
01:29:46,73
01:29:51,73
01:30:01,75
01:30:06,79
01:30:11,75
01:30:16,72
01:30:21,69
01:30:26,68
01:30:31,69
01:30:36,69
01:30:41,68
01:30:46,67
01:30:56,68
01:31:06,69
01:31:11,70
01:31:26,71
01:31:31,70
01:31:36,69
01:31:51,69
01:32:01,69
01:32:06,69
01:32:11,68
01:32:26,68
01:32:41,68
01:32:56,69
01:33:11,69
01:33:21,70
01:33:36,70
01:33:46,70
01:33:52,69
01:34:07,71
01:34:12,73
01:34:17,73
01:34:32,72
01:34:37,71
01:34:42,70
01:34:57,70
01:35:07,69
01:35:17,75
01:35:32,76
01:35:37,75
01:35:42,68
01:35:47,67
01:35:52,68
01:35:57,70
01:36:12,70
01:36:22,69
01:36:37,69
01:36:52,70
01:37:02,71
01:37:07,73
01:37:22,74
01:37:27,74
01:37:32,73
01:37:37,73
01:37:47,72
01:37:52,74
01:37:57,75
01:38:02,76
01:38:17,76
01:38:22,75
01:38:27,74
01:38:37,73
01:38:42,72
01:38:57,72
01:39:12,71
01:39:17,69
01:39:22,69
01:39:32,73
01:39:42,73
01:39:47,72
01:40:02,71
01:40:12,73
01:40:17,82
01:40:22,78
01:40:27,72
01:40:32,70
01:40:42,69
01:40:57,69
01:41:12,70
01:41:22,71
01:41:32,72
01:41:37,72
01:41:52,72
01:42:07,72
01:42:22,73
01:42:37,72
01:42:52,72
01:43:07,72
01:43:17,71
01:43:32,71
01:43:47,70
01:43:52,69
01:44:02,70
01:44:17,70
01:44:27,71
01:44:32,73
01:44:37,74
01:44:42,82
01:44:47,86
01:44:52,83
01:44:57,79
01:45:02,77
01:45:07,76
01:45:12,74
01:45:17,73
01:45:22,72
01:45:32,71
01:45:38,70
01:45:53,70
01:46:08,70
01:46:18,69
01:46:23,65
01:46:38,66
01:46:43,67
01:46:48,68
01:46:58,69
01:47:08,70
01:47:18,71
01:47:23,72
01:47:28,71
01:47:33,72
01:47:38,71
01:47:53,71
01:48:08,71
01:48:18,72
01:48:33,72
01:48:38,71
01:48:53,70
01:49:08,69
01:49:18,70
01:49:33,70
01:49:43,69
01:49:53,68
01:49:58,69
01:50:03,68
01:50:08,69
01:50:13,70
01:50:23,71
01:50:28,70
01:50:38,69
01:50:48,71
01:50:58,70
01:51:08,71
01:51:13,71
01:51:23,72
01:51:33,74
01:51:38,75
01:51:43,76
01:51:48,77
01:51:53,75
01:51:58,72
01:52:08,71
01:52:23,71
01:52:33,72
01:52:43,72
01:52:48,73
01:52:58,70
01:53:13,71
01:53:28,71
01:53:43,71
01:53:48,72
01:53:53,72
01:53:58,71
01:54:03,69
01:54:08,69
01:54:23,69
01:54:28,70
01:54:43,71
01:54:58,71
01:55:08,72
01:55:13,71
01:56:18,70
01:56:23,76
01:56:28,75
01:56:33,74
01:56:38,72
01:56:43,71
01:56:48,71
01:56:58,72
01:57:03,74
01:57:08,80
01:57:13,78
01:57:18,75
01:57:23,72
01:57:28,68
01:57:43,68
01:57:53,69
01:58:08,68
01:58:18,68
01:58:23,68
01:58:33,68
01:58:38,69
01:58:43,70
01:58:58,71
01:59:03,72
01:59:18,74
01:59:23,75
01:59:28,71
01:59:33,67
01:59:38,65
01:59:43,67
01:59:48,66
01:59:53,67
01:59:58,68
02:00:13,69
02:00:18,68
02:00:28,69
02:00:33,70
02:00:48,70
02:01:03,70
02:01:13,69
02:01:18,68
02:01:23,67
02:01:33,68
02:01:38,69
02:01:43,68
02:01:48,67
02:02:03,67
02:02:08,68
02:02:13,69
02:02:28,69
02:02:43,67
02:02:53,66
02:03:03,65
02:03:10,64
02:03:25,64
02:03:35,65
02:03:50,65
02:03:55,66
02:04:05,65
02:04:10,64
02:04:20,64
02:04:25,64
02:04:30,65
02:04:35,66
02:04:45,65
02:04:55,66
02:05:10,67
02:05:15,66
02:05:20,65
02:05:35,66
02:05:50,67
02:05:55,65
02:06:10,64
02:06:20,65
02:06:25,67
02:06:40,68
02:06:45,70
02:06:50,69
02:06:55,66
02:07:00,65
02:07:05,64
02:07:20,64
02:07:25,65
02:07:35,67
02:07:40,68
02:07:45,66
02:07:50,63
02:07:55,62
02:08:00,63
02:08:05,65
02:08:10,66
02:08:15,63
02:08:20,62
02:08:25,63
02:08:35,64
02:08:40,65
02:08:50,64
02:08:55,63
02:09:05,64
02:09:10,63
02:09:15,62
02:09:25,64
02:09:40,63
02:09:55,62
02:10:10,62
02:10:20,63
02:10:30,64
02:10:35,65
02:10:40,64
02:10:45,64
02:10:50,63
02:11:05,63
02:11:10,65
02:11:20,63
02:11:25,62
02:11:30,61
02:11:45,61
02:11:50,62
02:11:55,64
02:12:00,65
02:12:10,64
02:12:15,65
02:12:25,64
02:12:40,64
02:12:55,66
02:13:05,64
02:13:20,64
02:13:35,64
02:13:40,63
02:13:55,63
02:14:00,65
02:14:05,66
02:14:11,66
02:14:16,65
02:14:26,64
02:14:41,64
02:14:51,65
02:15:06,64
02:15:21,65
02:15:26,66
02:15:36,65
02:15:41,63
02:15:46,62
02:15:56,63
02:16:01,64
02:16:06,65
02:16:21,65
02:16:26,64
02:16:31,63
02:16:36,62
02:16:46,63
02:16:51,64
02:17:01,65
02:17:06,64
02:17:21,64
02:17:26,62
02:17:36,64
02:17:41,65
02:17:56,63
02:18:01,64
02:18:06,65
02:18:16,64
02:18:31,64
02:18:41,63
02:18:46,62
02:19:01,63
02:19:11,65
02:19:16,66
02:19:21,65
02:19:36,65
02:19:51,64
02:20:01,65
02:20:16,65
02:20:21,66
02:20:26,65
02:20:31,64
02:20:36,63
02:20:41,62
02:20:46,63
02:20:51,64
02:20:56,65
02:21:01,66
02:21:06,65
02:21:21,65
02:21:36,64
02:21:46,65
02:21:51,65
02:22:01,67
02:22:11,64
02:22:16,63
02:22:31,64
02:22:36,65
02:22:41,66
02:22:56,65
02:23:11,65
02:23:26,64
02:23:36,65
02:23:41,64
02:23:56,64
02:24:01,65
02:24:16,66
02:24:31,66
02:24:36,66
02:24:46,67
02:24:56,82
02:25:01,94
02:25:06,88
02:25:11,77
02:25:16,69
02:25:21,68
02:25:26,70
02:25:36,67
02:25:41,65
02:25:46,63
02:25:51,64
02:25:56,65
02:26:01,66
02:26:06,68
02:26:11,74
02:26:16,81
02:26:21,83
02:26:26,80
02:26:31,73
02:26:36,68
02:26:41,65
02:26:46,64
02:27:01,64
02:27:11,65
02:27:16,67
02:27:21,68
02:27:26,67
02:27:31,65
02:27:36,64
02:27:41,63
02:27:46,62
02:27:56,63
02:28:01,64
02:28:06,65
02:28:16,67
02:28:26,66
02:28:31,64
02:28:36,63
02:28:46,64
02:28:56,65
02:29:01,64
02:29:06,63
02:29:21,63
02:29:36,63
02:29:41,64
02:29:56,63
02:30:01,62
02:30:06,63
02:30:11,62
02:30:26,62
02:30:31,61
02:30:36,62
02:30:41,60
02:30:56,61
02:31:01,62
02:31:06,63
02:31:11,62
02:31:21,64
02:31:31,63
02:31:36,61
02:31:41,60
02:31:46,61
02:31:51,62
02:31:56,63
02:32:01,64
02:32:06,63
02:32:16,62
02:32:21,63
02:32:26,62
02:32:41,62
02:32:46,63
02:32:56,64
02:33:11,64
02:33:16,63
02:33:21,62
02:33:36,62
02:33:51,62
02:33:56,64
02:34:06,63
02:34:21,63
02:34:26,61
02:34:41,61
02:34:46,63
02:34:52,63
02:35:07,63
02:35:22,63
02:35:27,62
02:35:42,62
02:35:52,63
02:35:57,64
02:36:12,63
02:36:22,61
02:36:37,62
02:36:52,63
02:37:07,64
02:37:22,63
02:37:37,64
02:37:42,63
02:37:52,62
02:38:07,62
02:38:12,63
02:38:22,64
02:38:27,63
02:38:32,62
02:38:37,61
02:38:47,62
02:38:52,63
02:39:02,64
02:39:07,62
02:39:22,63
02:39:27,63
02:39:42,64
02:39:52,63
02:40:07,64
02:40:22,65
02:40:27,64
02:40:37,65
02:40:42,64
02:40:47,63
02:40:52,62
02:41:02,64
02:41:07,65
02:41:17,64
02:41:22,63
02:41:37,64
02:41:47,65
02:41:52,65
02:42:07,72
02:42:12,84
02:42:17,80
02:42:22,75
02:42:27,76
02:42:37,69
02:42:42,65
02:42:57,65
02:43:02,66
02:43:07,66
02:43:17,67
02:43:22,68
02:43:27,67
02:43:32,66
02:43:37,63
02:43:42,64
02:43:47,65
02:43:57,66
02:44:07,67
02:44:12,68
02:44:17,67
02:44:32,64
02:44:42,63
02:44:52,65
02:44:57,67
02:45:02,68
02:45:12,69
02:45:17,68
02:45:22,67
02:45:37,67
02:45:52,67
02:45:57,68
02:46:02,70
02:46:07,68
02:46:12,66
02:46:17,65
02:46:22,67
02:46:27,68
02:46:37,70
02:46:42,73
02:46:47,76
02:46:52,77
02:46:57,75
02:47:02,72
02:47:07,70
02:47:17,69
02:47:27,70
02:47:32,71
02:47:37,72
02:47:47,73
02:47:52,75
02:47:57,74
02:48:02,72
02:48:07,73
02:48:17,74
02:48:32,73
02:48:47,75
02:48:52,76
02:48:57,77
02:49:07,79
02:49:12,78
02:49:17,79
02:49:22,78
02:49:27,77
02:49:32,76
02:49:37,72
02:49:42,71
02:49:47,72
02:49:52,74
02:49:57,77
02:50:02,72
02:50:12,73
02:50:17,73
02:50:27,74
02:50:32,73
02:50:37,69
02:50:47,70
02:50:52,72
02:50:57,74
02:51:02,73
02:51:12,72
02:51:22,73
02:51:37,73
02:51:42,74
02:51:47,73
02:51:52,72
02:52:02,74
02:52:07,75
02:52:17,74
02:52:22,72
02:52:27,72
02:52:37,74
02:52:47,73
02:52:57,74
02:53:02,75
02:53:17,75
02:53:32,76
02:53:47,74
02:53:52,76
02:53:57,75
