Time,Heart Rate
00:00:06,113
00:00:11,115
00:00:16,118
00:00:21,113
00:00:26,110
00:00:31,109
00:01:39,70
00:01:50,71
00:01:55,98
00:02:00,101
00:02:05,92
00:02:10,88
00:02:15,87
00:02:20,85
00:02:25,84
00:02:30,83
00:02:45,85
00:02:50,86
00:03:35,70
00:03:57,70
00:19:37,70
01:14:14,70
02:08:51,70
05:06:43,70
05:06:58,70
05:07:13,70
05:07:18,71
05:07:23,72
05:07:28,71
05:07:33,69
05:07:38,72
05:07:43,71
05:07:48,69
05:08:03,70
05:08:35,70
05:08:50,70
05:08:55,76
05:09:00,78
05:09:05,74
05:09:10,74
05:09:15,76
05:09:20,85
05:09:25,87
05:09:30,89
05:09:35,90
05:09:40,96
05:09:45,99
05:09:50,93
05:09:55,96
05:10:05,95
05:10:15,93
05:10:25,99
05:10:30,100
05:10:35,99
05:10:40,100
05:10:45,98
05:10:55,97
05:11:00,91
05:11:05,83
05:11:10,81
05:11:15,81
05:11:20,82
05:11:25,83
05:11:30,84
05:11:35,83
05:11:40,82
05:11:45,83
05:11:50,84
05:11:55,86
05:12:00,91
05:12:05,92
05:12:15,91
05:12:20,90
05:12:30,89
05:12:35,88
05:12:40,91
05:12:45,91
05:12:50,90
05:12:55,91
05:13:00,92
05:13:10,93
05:13:15,94
05:13:20,93
05:13:25,91
05:13:30,89
05:13:45,89
05:14:00,90
05:14:05,90
05:14:10,91
05:14:15,93
05:14:20,94
05:14:25,95
05:14:35,91
05:14:40,90
05:14:45,89
05:14:55,88
05:15:00,86
05:15:05,86
05:15:10,85
05:15:15,83
05:15:20,78
05:15:25,75
05:15:30,77
05:15:35,80
05:15:40,79
05:15:45,76
05:15:50,73
05:15:55,70
05:16:05,74
05:16:10,75
05:16:15,74
05:16:20,75
05:16:25,76
05:16:35,74
05:16:40,73
05:16:50,72
05:16:55,70
05:17:00,67
05:17:05,67
05:17:15,72
05:17:20,74
05:17:25,72
05:17:30,70
05:17:35,68
05:17:40,67
05:17:45,70
05:18:00,69
05:18:05,68
05:18:10,67
05:18:15,67
05:18:20,68
05:18:25,69
05:18:30,71
05:18:35,73
05:18:40,85
05:18:45,87
05:18:50,80
05:18:55,76
05:19:00,70
05:19:05,68
05:19:10,68
05:19:20,69
05:19:25,70
05:19:30,71
05:19:35,73
05:19:40,80
05:19:55,80
05:20:05,82
05:20:20,82
05:20:30,81
05:20:40,82
05:20:45,86
05:20:50,84
05:20:55,79
05:21:00,74
05:21:05,70
05:21:10,71
05:21:15,75
05:21:20,76
05:21:25,74
05:21:35,77
05:21:45,75
05:21:55,74
05:22:00,76
05:22:05,79
05:22:10,78
05:22:16,76
05:22:21,75
05:22:26,76
05:22:31,74
05:22:36,70
05:22:46,71
05:22:51,73
05:22:56,76
05:23:01,77
05:23:11,76
05:23:21,75
05:23:26,72
05:23:41,73
05:23:51,72
05:24:01,74
05:24:06,72
05:24:11,71
05:24:16,70
05:24:26,71
05:24:36,73
05:24:46,71
05:25:01,72
05:25:06,74
05:25:11,76
05:25:21,75
05:25:26,76
05:25:31,75
05:25:36,73
05:25:41,71
05:25:56,71
05:26:01,72
05:26:06,76
05:26:11,80
05:26:16,82
05:26:21,79
05:26:26,76
