,Time,Heart Rate
0,0:00:02,70
1,0:32:07,70
2,0:46:09,70
3,0:48:55,70
4,1:43:40,70
5,1:44:30,70
6,1:44:35,70
7,1:44:40,67
8,1:44:45,62
9,1:45:05,70
10,1:45:10,70
11,1:45:15,88
12,1:45:20,93
13,1:45:35,93
14,1:45:40,90
15,1:45:45,85
16,1:45:50,89
17,1:45:55,90
18,1:46:00,90
19,1:46:05,89
20,1:46:10,88
21,1:46:15,88
22,1:46:20,89
23,1:46:30,90
24,1:46:35,89
25,1:46:45,90
26,1:47:00,90
27,1:47:05,90
28,1:47:10,89
29,1:47:15,88
30,1:47:20,87
31,1:47:25,86
32,1:47:30,86
33,1:47:40,87
34,1:47:46,86
35,1:48:01,86
36,1:48:06,87
37,1:48:11,86
38,1:48:16,86
39,1:48:31,87
40,1:48:36,88
41,1:48:41,91
42,1:48:46,92
43,1:48:51,91
44,1:48:56,92
45,1:49:11,92
46,1:49:21,93
47,1:49:36,94
48,1:49:41,89
49,1:49:46,87
50,1:49:51,88
51,1:50:01,85
52,1:50:06,83
53,1:50:11,67
54,1:50:16,56
55,1:50:21,55
56,1:50:26,54
57,1:50:36,55
58,1:50:46,54
59,1:50:51,53
60,1:51:01,54
61,1:51:06,56
62,1:51:16,57
63,1:51:21,59
64,1:51:26,60
65,1:51:31,59
66,1:51:41,58
67,1:51:46,57
68,1:51:51,56
69,1:52:01,57
70,1:52:06,56
71,1:52:11,55
72,1:52:16,54
73,1:52:31,56
74,1:52:36,58
75,1:52:41,61
76,1:52:46,64
77,1:52:51,65
78,1:52:56,66
79,1:53:01,69
80,1:53:06,72
81,1:53:11,72
82,1:53:26,72
83,1:53:31,75
84,1:53:36,76
85,1:53:41,77
86,1:53:46,76
87,1:53:51,74
88,1:53:56,72
89,1:54:01,65
90,1:54:06,61
91,1:54:11,63
92,1:54:16,64
93,1:54:21,65
94,1:54:26,64
95,1:54:36,62
96,1:54:41,61
97,1:54:46,57
98,1:54:51,55
99,1:54:56,54
100,1:55:11,55
101,1:55:16,57
102,1:55:21,59
103,1:55:26,61
104,1:55:31,63
105,1:55:36,64
106,1:55:41,65
107,1:55:46,67
108,1:55:51,75
109,1:55:56,89
110,1:56:01,92
111,1:56:06,91
112,1:56:11,89
113,1:56:16,88
114,1:56:21,86
115,1:56:26,85
116,1:56:31,84
117,1:56:41,84
118,1:56:56,84
119,1:57:01,81
120,1:57:06,79
121,1:57:11,77
122,1:57:16,76
123,1:57:21,72
124,1:57:26,70
125,1:57:31,71
126,1:57:41,70
127,1:57:56,70
128,1:58:11,70
129,1:58:26,70
130,1:58:36,70
131,1:58:51,70
132,1:59:06,69
133,1:59:11,64
134,1:59:16,56
135,1:59:21,55
136,1:59:26,54
137,1:59:31,52
138,1:59:36,51
139,1:59:51,53
140,1:59:56,55
141,2:00:01,57
142,2:00:06,60
143,2:00:11,62
144,2:00:16,65
145,2:00:21,67
146,2:00:26,67
147,2:00:31,68
148,2:00:36,69
149,2:00:41,70
150,2:00:46,75
151,2:00:51,64
152,2:01:06,62
153,2:01:11,55
154,2:01:16,54
155,2:01:21,53
156,2:01:26,52
157,2:01:41,52
158,2:01:46,51
159,2:01:56,52
160,2:02:01,53
161,2:02:06,54
162,2:02:11,56
163,2:02:16,57
164,2:02:21,59
165,2:02:26,62
166,2:02:41,65
167,2:02:46,70
168,2:02:51,66
169,2:02:56,55
170,2:03:11,55
171,2:03:16,54
172,2:03:21,58
173,2:03:26,64
174,2:03:31,86
175,2:03:36,89
176,2:03:41,91
177,2:03:46,93
178,2:03:51,63
179,2:03:56,97
180,2:04:06,96
