,Time,Heart Rate
0,3:42:01,70
1,4:36:40,70
2,5:31:17,70
3,15:21:56,70
4,15:23:28,70
5,15:23:38,140
6,15:23:43,132
7,15:23:48,131
8,15:24:15,70
9,15:25:26,70
10,15:25:36,76
11,15:25:49,87
12,15:26:24,70
13,15:27:54,70
14,15:28:14,72
15,15:28:29,75
16,15:28:34,76
17,15:28:39,77
18,15:28:44,78
19,15:28:49,79
20,15:30:10,70
21,15:30:20,100
22,15:30:25,115
23,15:30:30,148
24,15:30:35,147
25,15:30:40,145
26,15:30:45,138
27,15:30:50,132
28,15:30:55,127
29,15:31:00,120
30,15:56:03,70
31,15:57:26,70
32,15:57:41,70
33,15:57:46,81
34,15:57:56,83
35,15:58:01,82
36,15:58:06,83
37,15:58:11,82
38,15:58:16,81
39,15:58:21,80
40,15:58:26,79
41,15:58:31,80
42,15:58:36,78
43,15:58:41,77
44,15:58:46,81
45,15:58:51,83
46,15:59:06,83
47,15:59:21,84
48,15:59:31,82
49,15:59:36,83
50,15:59:46,86
51,15:59:51,88
52,16:00:06,88
53,16:00:21,88
54,16:00:24,88
55,16:00:29,87
56,16:00:44,87
57,16:00:49,87
58,16:01:04,87
59,16:02:35,70
60,16:02:45,93
61,16:03:57,70
62,16:04:07,80
63,16:04:12,94
64,16:04:17,96
65,16:05:29,70
66,16:33:01,70
67,16:42:44,70
68,16:46:07,70
69,16:50:05,70
70,16:51:18,70
71,16:53:24,70
72,16:54:17,70
73,16:54:44,70
74,17:37:56,70
75,18:03:31,70
76,18:03:41,70
77,18:05:24,70
78,18:11:33,70
79,18:21:11,70
80,18:34:23,70
81,18:45:25,70
82,18:53:51,70
83,19:23:30,70
84,19:24:06,70
85,19:33:00,70
86,19:33:13,70
87,19:33:58,70
88,19:34:08,61
89,19:34:13,57
90,19:34:18,55
91,20:28:56,70
92,21:23:34,70
