,Time,Heart Rate
0,1:16:39,84
1,1:16:44,70
2,1:16:59,70
3,1:17:09,75
4,1:17:14,76
5,1:17:19,78
6,1:17:24,79
7,1:17:29,81
8,1:17:34,82
9,1:17:49,81
10,1:17:54,80
11,1:17:59,81
12,1:18:14,81
13,1:18:19,82
14,1:18:29,81
15,1:18:39,80
16,1:18:44,79
17,1:18:59,80
18,1:19:04,81
19,1:19:14,81
20,1:19:19,83
21,1:19:24,88
22,1:19:29,92
23,1:19:34,94
24,1:19:39,93
25,1:19:44,90
26,1:19:49,88
27,1:19:54,88
28,1:19:59,86
29,1:20:04,83
30,1:20:09,84
31,1:20:14,86
32,1:20:29,86
33,1:20:39,87
34,1:20:44,88
35,1:20:49,89
36,1:20:54,89
37,1:21:04,90
38,1:21:19,89
39,1:21:24,97
40,1:21:34,99
41,1:21:49,99
42,1:21:54,102
43,1:21:59,110
44,1:22:04,117
45,1:22:09,118
46,1:22:14,117
47,1:22:24,115
48,1:22:29,114
49,1:22:34,115
50,1:22:44,116
51,1:22:50,116
52,1:23:05,116
53,1:23:15,118
54,1:23:20,119
55,1:23:35,119
56,1:23:40,115
57,1:23:45,112
58,1:24:00,112
59,1:24:15,112
60,1:24:20,109
61,1:24:25,110
62,1:24:30,109
63,1:24:45,109
64,1:25:00,109
65,1:27:01,116
66,1:27:06,115
67,1:27:11,113
68,1:27:16,110
69,1:27:21,101
70,1:27:26,85
71,1:27:31,80
72,1:27:36,81
73,1:27:51,82
74,1:28:01,83
75,1:28:11,85
76,1:28:26,84
77,1:28:31,83
78,1:28:41,81
79,1:28:46,80
80,1:28:51,79
81,1:28:56,77
82,1:29:01,75
83,1:29:16,75
84,1:29:21,76
85,1:29:26,75
86,1:29:36,75
87,1:29:41,73
88,1:29:56,72
89,1:30:11,72
90,1:30:16,72
91,1:30:21,72
92,1:30:36,72
93,1:30:46,74
94,1:30:51,77
95,1:30:56,80
96,1:31:01,83
97,1:31:06,84
98,1:31:11,83
99,1:31:16,84
100,1:31:21,83
101,1:31:26,81
102,1:31:31,78
103,1:31:36,76
104,1:31:41,74
105,1:31:46,71
106,1:31:51,69
107,1:31:56,67
108,1:32:11,67
109,1:32:16,69
110,1:32:21,71
111,1:32:26,71
112,1:32:31,73
113,1:32:36,74
114,1:32:46,75
